table,line,col,,Text,Cause,Effect
1,1,1,1287," Calculating acceleration is complicated if both speed and direction are changing or if you want to know acceleration at any given instant in time. However, its relatively easy to calculate average acceleration over a period of time when only speed is changing.",both speed and direction are changing or if you want to know acceleration at any given instant in time .,Calculating acceleration is complicated
1,1,2,3154,"Metamorphism may change the mineral composition and the texture of the rock. For that reason, a metamorphic rock may have a new mineral composition and/or texture. ",Metamorphism may change the mineral composition and the texture of the rock,a metamorphic rock may have a new mineral composition and/or texture .
2,1,1,1896,Plants make starches to store extra glucose. Consumers get starches by eating plants. Common sources of starches in the human diet are pictured in the Figure 1.2.,eating plants,Consumers get starches
1,1,3,732,"For example, alkaline Earth metals will react with cold water, but not explosively as alkali metals do. Because of their reactivity, alkaline Earth metals never exist as pure substances in nature. Instead, they are always found combined with other elements.","For example , alkaline Earth metals will react with cold water , but not explosively as alkali metals do",", alkaline Earth metals never exist as pure substances in nature ."
4,1,1,3311,"For example, with better farming machines, farm families no longer needed as many children to work in the fields. Laws were also passed that required children to go to school. They could no longer work and help support the family.",children,Laws were also passed
3,3,1,27,"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates. Because pollutants can travel so far, much of the acid rain that falls hurts states or nations other than ones where the pollutants were released. All the rain that falls in Sweden is acidic and fish in lakes all over the country are dying.",Because pollutants can travel so far,falls hurts states or nations other than ones where the pollutants were released .
2,1,1,1879,It also has the same composition throughout. You can learn more about compounds and how they form by watching this video: MEDIA Click image to the left or use the URL below.,watching this video,You can learn more about compounds and how they form
1,1,1,2437,"To understand how gluons work, imagine holding a rubber band between your fingers. If you try to move your hands apart, they will be pulled back together by the rubber band. The farther apart you move your hands, the stronger the force of the rubber band pulling your hands together.",you try to move your hands apart,they will be pulled back together by the rubber band .
4,1,2,3319,"The sooner cancer is treated, the greater the chances of a cure. This is why it is important to know the warning signs of cancer. Having warning signs does not mean that you have cancer.","The sooner cancer is treated , the greater the chances of a cure",it is important to know the warning signs of cancer .
1,1,3,691,"Scientists and engineers have very active, ongoing research into new ways to harness energy from the Sun more efficiently. Because of the tremendous amount of incoming sunlight, solar power is being developed in the United States in southeastern California, Nevada, and Arizona. Solar panels supply power to the Interna- tional Space Station.","Scientists and engineers have very active , ongoing research into new ways to harness energy from the Sun more efficiently",", solar power is being developed in the United States in southeastern California , Nevada , and Arizona ."
4,2,1,3255,The minerals in hornfels separate by density. The result is that the rock becomes banded. Gneiss forms by regional metamorphism from extremely high temperature and pressure.,The minerals in hornfels separate by density,the rock becomes banded .
3,1,1,2627,"The lighter elements rose to the surface (Figure 12.4). Because the material separated, Earths core is made mostly of iron. Earths crust is made mostly of lighter materials.",the material separated,Earths core is made mostly of iron .
4,2,2,579,"Light passes through the lens at the front of the camera and enters the camera through an opening called the aperture. As light passes through the lens, it forms a reduced real image. The image focuses on film (or a sensor) at the back of the camera.",light passes through the lens,it forms a reduced real image.
4,2,2,583,"As a result, it isnt effective if the nucleus gets too big. As more protons are added to the nucleus, the electromagnetic force of repulsion between them gets stronger, while the strong nuclear force of attraction between them gets weaker. This puts an upper limit on the number of protons an atom can have and remain stable.",more protons are added to the nucleus,"the electromagnetic force of repulsion between them gets stronger, while the strong nuclear force of attraction between them gets weaker."
4,1,1,3307,"The problem of Love Canal was instrumental in the passage of the the Superfund Act in 1980. This law requires companies to be responsible for hazardous chemicals that they put into the environment and to pay to clean up polluted sites, which can often cost hundreds of millions of dollars. Love Canal became a Superfund site in 1983 and as a result, several measures were taken to secure the toxic wastes.",companies,The problem of Love Canal was instrumental in the passage of the the Superfund Act in 1980
1,2,1,3123,"While there had always been a lot of births, the population grew because the death rate fell. It fell for several reasons: 1. New farm machines were invented.",1 . New farm machines were invented,It fell
4,2,2,514,"He predicted that cosmic microwave background radiation should exist throughout the universe as a remnant of the Big Bang. As atoms formed from sub-atomic particles shortly after the Big Bang, electromagnetic radiation would be emitted and this radiation would still be observable today. Gamow predicted that the expansion of the universe would cool the original radiation so that now the radiation would be in the microwave range.",atoms formed from sub-atomic particles shortly after the Big Bang,electromagnetic radiation would be emitted and this radiation would still be observable today.
3,3,1,59,"For example, iron is not as strong as steel, which is a mixture of iron and small amounts of carbon. Steel is so strong that it can hold up huge bridges, like the one Figure 7.15. Steel is also used to make skyscrapers, cargo ships, cars, and trains.",Steel is so strong,"it can hold up huge bridges ,"
1,1,3,716,"This is true of all falling objects, unless air resistance affects one object more than another. For example, a falling leaf is slowed down by air resistance more than a falling acorn because of the leafs greater surface area. However, if the leaf and acorn were to fall in the absence of air (that is, in a vacuum), they would reach the ground at the same time.","For example , a falling leaf is slowed down by air resistance more than a falling acorn",". However , if the leaf and acorn were to fall in the absence of air -LRB- that is , in a vacuum -RRB- , they would reach the ground at the same time"
4,1,1,2803,"Mutations are random errors in genes. Mutations that lead to cancer usually happen to genes that control the cell cycle. Because of the mutations, abnormal cells divide uncontrollably.",are random errors in genes . Mutations,cancer
1,1,3,696,"The freed electrons travel within the ionosphere as electric currents. Because of the free ions, the ionosphere has many interesting characteristics. At night, radio waves bounce off the ionosphere and back to Earth.",The freed electrons travel within the ionosphere as electric currents,", the ionosphere has many interesting characteristics ."
2,1,1,1805,"One way is to avoid exposure to the allergens that cause your symptoms. If you are allergic to pollen, for example, you can reduce your exposure by staying inside when pollen levels are highest. Some people receive allergy shots to help prevent allergic reactions.",staying inside when pollen levels are highest,"for example , you can reduce your exposure"
4,2,2,447,"Condensation changes water vapor to liquid water. As air rises higher into the atmosphere, it cools. Cool air can hold less water vapor than warm air.",air rises higher into the atmosphere,it cools.
2,1,1,1800,Plants make starches to store extra glucose. Consumers can get starches by eating plants. Common sources of starches in the human diet are pictured in the Figure 2.8.,eating plants,Consumers can get starches
1,1,3,735,"(There are also neutrons in the nucleus, but they have no electric charge.) Negative electrons stay in the area surrounding the positive nucleus because of the electromagnetic force of attraction between them. Q: Why do you think protons cluster together in the nucleus of the atom instead of repelling each other because of their like charges?",Negative electrons stay in the area surrounding the positive nucleus,. Q : Why do you think protons cluster together in the nucleus of the atom instead of repelling each other because of their like
2,1,1,2985," By knowing something about the type of organism the fossil was, geologists can determine whether the region was terrestrial (on land) or marine (underwater) or even if the water was shallow or deep. The rock may give clues to whether the rate of sedimentation was slow or rapid.",knowing something about the type of organism,"the fossil was , geologists can determine whether the region was terrestrial -LRB- on land -RRB- or marine -LRB- underwater -RRB- or even"
3,1,1,816,Elliptical galaxies are red to yellow in color because they contain mostly old stars. Most contain very little gas and dust because the material has already formed into stars. ,the material has already formed into stars .,Most contain very little gas and dust
4,1,1,3114,"The break down of the cartilage leads to pain and stiffness in the joint. Decreased movement of the joint because of the pain may lead to weakening of the muscles that normally move the joint, and the ligaments surrounding the joint may become loose. Osteoarthritis is the most common form of arthritis.",the pain,weakening of the muscles that normally move the joint
1,1,3,683,"In the tilt of Earths axis and orbit over thousands of years. That are sudden and dramatic because of random catastrophic events, such as a large asteroid impact. In greenhouse gases in the atmosphere, caused naturally or by human activities.",That are sudden and dramatic,". In greenhouse gases in the atmosphere , caused naturally or by human activities"
4,2,2,459,"The hemisphere that is tilted away from the Sun is cooler because it receives less direct rays. As Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall. The Southern Hemisphere does the opposite from summer to fall to winter to spring.",Earth orbits the Sun,"the Northern Hemisphere goes from winter to spring, then summer and fall."
3,1,1,1028," All alkaline Earth metals have similar properties because they all have two valence electrons. They readily give up their two valence electrons to achieve a full outer energy level, which is the most stable arrangement of electrons.",they all have two valence electrons .,All alkaline Earth metals have similar properties
4,1,1,3139,"Every triplet in the DNA, or codon in the mRNA, encodes for a unique amino acid. Base-pairing ensures the accuracy of transcription. Notice how the helix must unwind for transcription to take place.",Base-pairing,the accuracy of transcription
1,1,3,753,"It occurs whenever an object curves down toward the ground because it has both a horizontal force and the downward force of gravity acting on it. Because of projectile motion, to hit the bulls eye of a target with an arrow, you actually have to aim for a spot above the bulls eye. You can see in theFigure 1.2 what happens if you aim at the bulls eye instead of above it.",It occurs whenever an object curves down toward the ground because it has both a horizontal force and the downward force of gravity acting on it,", to hit the bulls eye of a target with an arrow , you actually have to aim for a spot above the bulls eye ."
4,2,2,525,"Dead cells are gradually shed from the surface of the epidermis. As they are shed, they are replaced by other dead cells that move up from below. The epidermis also contains cells called melanocytes.",they are shed,they are replaced by other dead cells that move up from below.
3,1,1,911," Hemophilia is a genetic disorder in which blood fails to clot properly because a normal clotting factor in the blood is lacking. In people with hemophilia, even a minor injury can cause a life-threatening loss of blood.",a normal clotting factor in the blood is lacking .,Hemophilia is a genetic disorder in which blood fails to clot properly
3,3,1,43,A supervolcano could change life on Earth as we know it. Ash could block sunlight so much that photosynthesis would be reduced and global temperatures would plummet. Volcanic eruptions could have contributed to some of the mass extinctions in our planets history.,Ash could block sunlight so much,photosynthesis would be reduced and global temperatures would plummet .
4,1,1,3192,"The next consumer on the food chain that eats the herbivore will only store about 10% of the total energy from the herbivore in its own body. This means the carnivore will store only about 1% of the total energy that was originally in the plant. In other words, only about 10% of energy of one step in a food chain is stored in the next step in the food chain.",The next consumer on the food chain that eats the herbivore will only store about 10 % of the total energy from the herbivore in its own body,the carnivore
4,1,1,3194,"Other types of flatworms are parasitic. That means they live inside another organism, called a host, in order to get the food and energy they need. For example, tapeworms have a head-like area with tiny hooks and suckers (known as the scolex)",Other types of flatworms are parasitic,they
1,1,3,686,"They knew that the gravitational pull of another planet beyond Uranus must be affecting Uranus orbit. Neptune was discovered in 1846, in the position that had been predicted, and it was named Neptune for the Roman god of the sea because of its bluish color. This image of Neptune was taken by Voy- ager 2 in 1989.","Neptune was discovered in 1846 , in the position that had been predicted , and it was named Neptune for the Roman god of the sea",. This image of Neptune was taken by Voy - ager 2 in 1989
4,1,2,3186,Metals are generally shiny. This is because they reflect much of the light that strikes them. The mercury pictured above is very shiny.,they reflect much of the light that strikes them .,Metals are generally shiny
4,1,1,3120,"QUEST visits Davis  a city that loves its bicycles  to take a ride on a research bicycle and explore a collection of antique bicycles. Scientists say studying the complicated physics of bicycling can lead to the design of safer, and more efficient bikes. For more information on the science of riding a bicycle, see  MEDIA Click image to the left or use the URL below.",the complicated physics of bicycling,"the design of safer , and more efficient bikes"
4,1,1,2799,"Over time, a drug user may need more of the drug to get the desired effect. This can lead to drug overdose and death. ","Over time , a drug user may need more of the drug to get the desired effect",drug overdose and death
4,1,3,3287,"Q: How do you think the sun is related to protons? A: The suns tremendous energy is the result of proton interactions. In the sun, as well as in other stars, protons from hydrogen atoms combine, or fuse, to form nuclei of helium atoms.",proton interactions,The suns tremendous energy
2,1,1,2620,All this motion may cause you to fly off the Earth! You can thank gravity for keeping you in place. Gravity keeps us firmly down on the ground.,keeping you in place,You can thank gravity
1,1,3,682,"A case that was made into a book and movie called A Civil Action involved the community of Woburn, Massachusetts. Groundwater contamination was initially suspected because of an increase in childhood leukemia and other illnesses. As a result of concern by parents, the well water was analyzed and shown to have high levels of TCE (trichloroethylene).",Groundwater contamination was initially suspected,". As a result of concern by parents , the well water was analyzed and shown to have high levels of TCE -LRB- trichloroethylene -RRB-"
1,1,1,2429," If a surface is extremely smooth, like very still water, then an image formed by reflection is sharp and clear. This is called regular reflection.",a surface is extremely smooth,"like very still water , then an image formed by reflection is sharp and clear ."
4,2,2,605,"This makes the side of the knocker closest to your hand positively charged. As your negatively charged hand gets very close to the positively charged side of the metal, the air between your hand and the knocker also becomes electrically charged. This allows electrons to suddenly flow from your hand to the knocker.",your negatively charged hand gets very close to the positively charged side of the metal,the air between your hand and the knocker also becomes electrically charged.
3,2,1,610,Gravity causes abrasion as a rock tumbles down a slope. Moving water causes abrasion it moves rocks so that they bump against one another (Figure 9.3). Strong winds cause abrasion by blasting sand against rock surfaces.,Moving water,causes abrasion it moves rocks
1,1,1,1174,"Plants such as trees, which normally live a long time, are most affected. Entire forests may die out if ozone levels are very high. Other plants, including crop plants, may also be damaged by ozone.",ozone levels are very high .,Entire forests may die out
1,1,1,1542,"Humans cant see ultraviolet light, but it is very useful nonetheless. It has higher-frequency waves than visible light, so it has more energy. It can be used to kill bacteria in food and to sterilize laboratory equipment (see Figure 21.12).",It has higher-frequency waves than visible light,it has more energy .
