,Text,Cause,Effect,Score,Notes
2083,Purchase products made from recycled materials. Reduce pollution so that resources are maintained. Prevent soil erosion.,Reduce pollution,resources are maintained .,1,
490,"Gravity within such an enormous body squeezes the material in its interior so hard that the pressure swells. As Earths internal pressure grew, its temperature also rose. Radioactive decay:",Earths internal pressure grew,its temperature also rose.,0,unclear if causal or correlational
1907,"In fact, it wont stop moving unless another unbalanced force opposes its motion. For example, Lauren can stop the rolling skateboard by moving to the other end and pushing in the opposite direction. Q:",moving to the other end and pushing in the opposite direction,"For example , Lauren can stop the rolling skateboard",1,bad extraction
3320,"The infected person cannot fight infections and other diseases because they do not have T cells. This is why people do not die from HIV. Instead, they die from another illness, like the common cold, that they cannot fight because they do not have helper T cells.",The infected person can not fight infections and other diseases because they do not have T cells,people do not die from HIV .,-1,
1854,"Some echinoderms find other ways of moving. For example, crinoids attach themselves to floating logs, and some sea cucumbers move by attaching to the sides of fish. On the underside side of a sea star, there are hundreds of tiny feet usually arranged into several rows on each ray of the star.",attaching to the sides of fish,some sea cucumbers move,-1,
656,"Many parasitic diseases caused by roundworms result from poor personal hygiene. Contributing factors may include lack of a clean water supply, inadequate sanitation measures, crowded living conditions, combined with a lack of access to health care and low levels of education. ",Contributing factors may include lack of a clean water supply,"inadequate sanitation measures , crowded living conditions , combined with a lack of access to health care and low levels of education .",-1,
869,"Neptune, shown in Figure 1.1, is the only major planet that cant be seen from Earth without a telescope. Scientists predicted the existence of Neptune before it was discovered because Uranus did not always appear exactly where it should appear. They knew that the gravitational pull of another planet beyond Uranus must be affecting Uranus orbit.",Uranus did not always appear exactly where it should appear .,Scientists predicted the existence of Neptune before it was discovered,1,
3034,"The thick atmosphere causes a strong greenhouse effect. As a result, Venus is the hottest planet. Even though it is farther from the Sun, Venus is much hotter even than Mercury.",thick atmosphere causes a strong greenhouse effect . As,the hottest planet,0,not enough context captured
485,"In the first few moments after the Big Bang, the universe was unimaginably hot and dense. As the universe expanded, it became less dense and began to cool. After only a few seconds, protons, neutrons, and electrons could form.",the universe expanded,it became less dense and began to cool.,1,
220,(Figure 1.5). Tourism is down in the region as beach goers find other ways to spend their time. Real estate prices along the Gulf have declined precipitously.,beach goers find other ways to spend their time .,Tourism is down in the region,1,
707,"Mutations that lead to cancer usually happen to genes that control the cell cycle. Because of the mutations, abnormal cells divide uncontrollably. This often leads to the development of a tumor.",Mutations that lead to cancer usually happen to genes that control the cell cycle,", abnormal cells divide uncontrollably .",1,bad context captured
914,The messages carried by neurons are called nerve impulses. A nerve impulse can travel very quickly because it is an electrical signal. Think about flipping on a light switch when you enter a room.,it is an electrical signal .,A nerve impulse can travel very quickly,1,
2952,"Unsaturated fatty acids have at least one double bond between carbon atoms. As a result, some carbon atoms are not bonded to as many hydrogen atoms as possible. They are unsaturated with hydrogens.",Unsaturated fatty acids have at least one double bond between carbon atoms,some carbon atoms are not bonded to as many hydrogen atoms as possible .,1,
3185,"We wouldnt notice the change for a little over 8 minutes. That is because the Sun is a long way away. Even when moving as fast as light, it takes time to travel from the Sun to Earth.",the Sun is a long way away .,We wouldnt notice the change for a little over 8 minutes,1,
2978,"Reduce household demand by installing water-saving devices such as low-flow shower heads and toilets. Reduce personal demand by turning off the tap when water is not being used and taking shorter showers. Engage in water-saving practices: for instance, water lawns less and sweep rather than hose down sidewalks.",turning off the tap,when water is not being used and taking shorter showers .,-1,
651," Eating healthy foods, getting enough sleep, and being active every day can help keep your respiratory system, cardiovascular system and immune system strong. Getting enough exercise makes your lungs stronger and better at giving your body the oxygen it needs.","Eating healthy foods , getting enough sleep , and being active","every day can help keep your respiratory system , cardiovascular system and immune system strong .",1,bad extraction
3157,"In addition, boys generally start puberty later than girls, so they have a longer period of childhood growth. For all these reasons, by the end of puberty, the average height of boys is 10 centimeters (about 4 inches) greater than the average height of girls. ","In addition , boys generally start puberty later than girls , so they have a longer period of childhood growth","by the end of puberty , the average height of boys is 10 centimeters -LRB- about 4 inches -RRB- greater than the average height of girls .",1,multi-step
3045,"Climate zones are classified by the Kppen classification system. This system is based on the temperature, the amount of precipitation, and the times of year when precipitation occurs. Since climate determines the type of vegetation that grows in an area, vegetation is used as an indicator of climate type.","the temperature , the amount of precipitation , and the times of year when precipitation occurs",This system,-1,
886,"A model that can successfully predict the present is more likely to be accurate when predicting the future. Many models are created on computers because only computers can handle and manipulate such enormous amounts of data. For example, climate models are very useful for trying to determine what types of changes we can expect as the composition of the atmosphere changes.",only computers can handle and manipulate such enormous amounts of data .,Many models are created on computers,1,
216,"The plants used the food and so did the organisms that ate the plants. After the plants and other organisms died, their remains gradually changed to fossil fuels as they were covered and compressed by layers of sediments. Petroleum and natural gas formed from ocean organisms and are found together.",they were covered and compressed by layers of sediments .,"After the plants and other organisms died , their remains gradually changed to fossil fuels",1,
2864,"As wind or an ocean current moves, the Earth spins underneath it. As a result, an object moving north or south along the Earth will appear to move in a curve instead of in a straight line. Wind or water that travels toward the poles from the Equator is deflected to the east, while wind or water that travels toward the Equator from the poles gets bent to the west.","As wind or an ocean current moves , the Earth spins underneath it",an object moving north or south along the Earth will appear to move in a curve instead of in a straight line .,1,
1033,"The atomic number of an element is usually written in front of and slightly below the elements symbol, like in the Figure 1.2 for helium. Atoms are neutral in electrical charge because they have the same number of negative electrons as positive protons. Therefore, the atomic number of an atom also tells you how many electrons the atom has.",they have the same number of negative electrons as positive protons .,Atoms are neutral in electrical charge,1,
3125,"A clone is an exact genetic copy. Genes are cloned for many reasons, including use in medicine and in agriculture. Below are the steps used to copy, or clone, a gene: 1.","including use in medicine and in agriculture . Below are the steps used to copy , or clone , a gene : 1",Genes are cloned,0,generic
2885,"An object penetrating the skull, such as a bullet or a shattered piece of the skull, also can cause traumatic brain injury. As a result, the person may have trouble talking or controlling body movements. Symptoms depend on what part of the brain was injured.","An object penetrating the skull , such as a bullet or a shattered piece of the skull , also can cause traumatic brain injury",the person may have trouble talking or controlling body movements .,0,cause byitself is causal relation
3029,"The bus isnt moving relative to them, and if they look at the other children sitting on the bus, they wont appear to be moving either. If the ride is really smooth, the children may only be able to tell that the bus is moving by looking out the window and seeing you and the trees whizzing by. This example shows that how we perceive motion depends on our frame of reference.",looking out the window and seeing you,and the trees whizzing by,-1,
3352,Birds often fly long distances. This is one reason why West Nile virus spread so quickly. ,Birds often fly long distances,West Nile virus spread so quickly .,1,
2560,"Cooking your food takes energy, and so does keeping it cold in the refrigerator or the freezer. The same is true for heating or cooling your home. Whether you are turning on a light in the kitchen or riding in a car to school, you are using energy.",heating or cooling your home,The same is true,-1,
2901,"Thats because the volume of water displaced by the steel ball weighs less than the ball. As a result, the buoyant force is not as great as the force of gravity acting on the ball. The design of the ships hull, on the other hand, causes it to displace much more water than the ball.",Thats because the volume of water displaced by the steel ball weighs less than the ball,the buoyant force is not as great as the force of gravity acting on the ball .,1,
2738,"Opaque matter is matter that does not let any light pass through it. Matter may be opaque because it absorbs light, reflects light, or does some combination of both. Examples of opaque objects are objects made of wood, like the shutters in the Figure 1.5.",it absorbs light,"reflects light , or does some combination of both .",-1,
45," The density of molecules is so low in the thermosphere that one gas molecule can go about 1 km before it collides with another molecule. Since so little energy is transferred, the air feels very cold",The density of molecules is so low,one gas molecule can go about 1 km before it collides with another molecule .,1,
2698,"Unsaturated cyclic hydrocarbons are called aromatic hydrocarbons. Thats because they have a strong aroma, or scent. Their molecules consist of six carbon atoms in a ring shape, connected by alternating single and double bonds.",they have a strong aroma,or scent .,-1,
2027,"Because only energy is emitted during gamma decay, the number of protons remains the same. Therefore, an atom does not become a different element during this type of decay. Q:","Because only energy is emitted during gamma decay , the number of protons remains the same",an atom does not become a different element during this type of decay .,1,multi-step
780,You can see a lump of carbon in Figure 18.10. Carbon is incredibly important because of what it makes when it combines with many other elements. Carbon can form a wide variety of substances.,of what it makes when it combines with many other,Carbon is incredibly important,0,not descriptive enough
2576,"The process of splitting atoms creates radioactive waste, which remains dangerous for thousands or hundreds of thousands of years. As yet, there is no long-term solution for storing this waste. The development of nuclear power plants has been on hold for three decades.",storing this waste,"As yet , there is no long-term solution",-1,
2809,"In 1906, he won the Nobel Prize in physics for his research on how gases conduct electricity. This research also led to his discovery of the electron. You can see a picture of Thomson 1.1.","In 1906 , he won the Nobel Prize in physics for his research on how gases conduct electricity",his discovery of the electron,-1,
222,Some pesticides are toxic. Dead zones grow as fertilizers drain off farmland and introduce nutrients into lakes and coastal areas. Farm machines and vehicles used to transport crops produce air pollutants.,fertilizers drain off farmland and introduce nutrients into lakes and coastal areas .,Dead zones grow,1,
684,Contact metamorphism: Changes in a rock that is in contact with magma. The changes occur because of the magmas extreme heat. Click image to the left or use the URL below.,The changes occur,. Click image to the left or use the URL below,-1,
980,A bowling ball would be too heavy to catch without risk of injury assuming you could even throw it. Thats because a bowling ball has a lot of mass. This gives it a great deal of momentum.,a bowling ball has a lot of mass .,bowling ball would be too heavy to catch without risk of injury assuming you could even throw it . Thats,1,
754,"AM broadcasts use longer wavelength radio waves than FM broadcasts. Because of their longer wavelengths, AM waves reflect off a layer of the upper atmosphere called the ionosphere. You can see how this happens in the Figure 1.2.",AM broadcasts use longer wavelength radio waves than FM broadcasts,", AM waves reflect off a layer of the upper atmosphere called the ionosphere .",1,
3025,"In row 1 of the Figure 1.1, an atom of sodium (Na) donates an electron to an atom of chlorine (Cl). By losing an electron, the sodium atom becomes a sodium ion. It now has more protons than electrons and a charge of +1.",losing an electron,", the sodium atom becomes a sodium ion .",1,
461,"It only reflects light from the Sun. As the Moon moves around the Earth, we see different parts of the Moon lit up by the Sun. This causes the phases of the Moon.",the Moon moves around the Earth,we see different parts of the Moon lit up by the Sun.,0,"durational, not causal?"
1785,"Animals consume this carbon when they eat plants or other animals that have eaten plants. After the organisms death, the carbon-14 decays to stable nitrogen-14 by releasing a beta particle. The nitrogen atoms are lost to the atmosphere, but the amount of carbon-14 that has decayed can be estimated by measuring the proportion of radioactive carbon-14 to stable carbon- 12.",releasing a beta particle,"After the organisms death , the carbon-14 decays to stable nitrogen-14",1,not great extraction
37,"From about 3.0 to 3.5 billion years ago the Moon was continually bombarded by meteorites. Some of these meteorites were so large that they broke through the Moons newly formed surface. Then, magma flowed out and filled the craters.",Some of these meteorites were so large,they broke through the Moons newly formed surface .,1,
264,"With logistic growth, the population starts out growing slowly, and then the rate of growth increasesbut only to a point. The rate of growth tapers off as the population size approaches its carrying capacity. Carrying capacity is the largest population size that can be supported in an area without harming the environment.",the population size approaches its carrying capacity .,The rate of growth tapers off,1,
2637,"Earth is the third planet out from the Sun, shown in Figure 25.14. Because it is our planet, we know a lot more about Earth than we do about any other planet. What are main features of Earth?",it is our planet,we know a lot more about Earth than we do about any other planet .,1,
3207,"An inflating balloon is only a rough analogy to the expanding universe for several reasons. One important reason is that the surface of a balloon has only two dimensions, while space has three dimensions. But space itself is stretching out between galaxies, just as the rubber stretches when a balloon is inflated.","the surface of a balloon has only two dimensions , while space has three dimensions .",An inflating balloon is only a rough analogy to the expanding universe for several reasons,1,
596,"Greater amplitude waves have more energy and greater intensity, so they sound louder. As sound waves travel farther from their source, the more spread out their energy becomes. You can see how this works in the Figure 1.2.",sound waves travel farther from their source,the more spread out their energy becomes.,1,
555,"Fingernails and toenails both grow from nail beds. As the nail grows, more cells are added at the nail bed. Older cells get pushed away from the nail bed and the nail grows longer.",the nail grows,more cells are added at the nail bed.,1,
170,"The energy released causes an earthquake. Slip is the distance rocks move along a fault, as one block of rock moves past the other. The angle of a fault is called When compression squeezes the crust into a smaller space, the hanging wall pushes up relative to the footwall.",one block of rock moves past the other .,Slip is the distance rocks move along a fault,-1,
2157,"Wegener knew that this was impossible! However, if the continents had moved, the glaciers would have been centered close to the South Pole. ",the continents had moved,the glaciers would have been centered close to the South Pole .,1,
