pid,freq,is_one_sent,table,line,col,ptxt,etxt,maintoken
0,265,1,1,1,1,"&C (,/;/./--) (&AND) so (-far) (,) &R","[u'It was not long before he saw me looking at him, and so he began to move.']",[[u'so']]
1,62,1,1,1,1,"&C (,/;/./--) (&AND) therefore (,) &R","[u'He never lies; therefore, everyone likes to make friends with him.']",[[u'therefore']]
2,35,1,1,1,1,"&C (,/;/./--) (&AND) thus &R","[u'Japan will be on the dark side of the Earth, and thus will lack the warming influence of the Sun.']",[[u'thus']]
3,9,1,1,1,1,"&C (,/;/./--) consequently (,) &R","[u'Her mother was seriously ill. Consequently, she left school.']",[[u'consequently']]
4,7,1,1,1,1,"&C (,/;/./--) (&AND) hence (,) &R",[u'Increase in temperature increases the rate of deposition and hence the heat loss to the surroundings should be prevented.'],[[u'hence']]
5,3,1,1,1,1,"&C (,/;/./--) (&AND) as a (&ADJ) result (,) &R","[u'All singers kept together. As a result,their performance was successful.']","[[u'as', u'a'], [u'result']]"
6,3,1,1,1,1,"&C ,/./;/and &R as a (&ADJ) result",[u'he defeated all competitors and won the scholarship as a result.'],"[[[u',', u'.', u';', u'and']], [u'as', u'a'], [u'result']]"
7,2,1,1,1,1,"&C (,/;/./--) (&AND) accordingly (,) &R","[u'They asked him to leave the meeting, and accordingly he went.']",[[u'accordingly']]
8,2,1,1,1,1,"&C ,/./;/and &R accordingly","[u'She knows ahead of time how much enhancement in loan size is coming, and can plan her activities accordingly.']","[[[u',', u'.', u';', u'and']], [u'accordingly']]"
9,1,1,1,1,1,"&C (,/;/./--) (&AND) as a (&ADJ) consequence (,) &R",[u'I missed the bus this morning and as a consequence was late for work. '],"[[u'as', u'a'], [u'consequence']]"
10,1,1,1,1,1,"&C ,/./;/and &R as a (&ADJ) consequence","[u'The warning failed to sink in, and he got into trouble as a consequence.']","[[[u',', u'.', u';', u'and']], [u'as', u'a'], [u'consequence']]"
11,1,1,1,1,1,"&C ,/./;/and &R in consequence","[u'She was found guilty, and lost her job in consequence.']","[[[u',', u'.', u';', u'and']], [u'in', u'consequence']]"
12,1,1,1,1,1,"&C (,/;/./--) (&AND) in consequence (,) &R","[u'We had not enough money to pay our bus fare, and in consequence we had to walk.']","[[u'in', u'consequence']]"
13,0,0,1,1,1,"owing to &C , &R","[u'Owing to CPEB has no clean market structure readjustment strategy now, lacking market development plan of the system completely.']","[[u'owing', u'to'], [u',']]"
14,0,0,1,1,1,&R@Complete@ if &C@Complete@,[u'An effective knowledge flow network enables a research team to be very powerful in generating new knowledge if every node can innovate and output new knowledge to appropriate members.'],[[u'if']]
15,0,0,1,1,1,"if/once &C@Complete@ , &R@Complete@","[u'If some light and mobile detection devices can be invented in the future, many new applications can be imagined, for example, people can get some services while thinking.']","[[[u'if', u'once']], [u',']]"
16,0,0,1,1,1,"if &C (,) then &R","[u'If representation A cites a set of representations B, and A is cited by a set of representations C, then both B and C constitute the extension of A.']","[[u'if'], [u'then']]"
17,7,1,1,1,2,"&C (,/;/./--) (&AND) for (&this) reason/reasons (,/that) &R","[u""Its sweet notes have restored many to health, and for this reason it is often called 'the sick one's comforter'.""]","[[u'for'], [[u'reason', u'reasons']]]"
18,3,1,1,1,2,"&C (,/;/./--) as a (&ADJ) result of &THIS (,) &R","[u'Amazing things will happen. As a direct result of this, many weapons have shifted position in their relative power.']","[[u'as', u'a'], [u'result', u'of']]"
19,3,1,1,1,2,"&C ,/./;/and &R as a (&ADJ) result of &THIS (&NP)",[u'Amazing things will happen. One gift that I received recently was given as a result of this sort of thinking.'],"[[[u',', u'.', u';', u'and']], [u'as', u'a'], [u'result', u'of']]"
20,0,1,1,1,2,"&C (,/;/./--) (&AND) &R as a (&ADJ) consequence (of &THIS (&NP))",[u'This eventually came true and the entire planet is a changed place as a consequence of it.'],"[[u'as', u'a'], [u'consequence']]"
21,0,1,1,1,2,"&C ,/./;/and &R in consequence (of &THIS (&NP))","[u'She was found guilty, and lost her job in consequence of it.']","[[[u',', u'.', u';', u'and']], [u'in', u'consequence']]"
22,2,1,1,1,2,"&C ,/./;/and &R (,) on that account","[u'I have been uneasy in the belief that I have offended you, and that you are going away on that account.']","[[[u',', u'.', u';', u'and']], [u'on', u'that', u'account']]"
23,2,1,1,1,2,"&C (,/;/./--) (&AND) on that account (,) &R","[u'The notion is generally associated in our minds with abstract generality, and on that account it is often described as a general conception.']","[[u'on', u'that', u'account']]"
24,1,1,1,1,2,"&C (,/;/./--) (&AND) (&ADV) because of &THIS (,) &R","[u""Mother's Day is the No 1 holiday for flower purchases. Then there are the various commodities, ranging from jewelry and clothes to cosmetics and washing powder, that take advantage of tlie promotion opportunities. Because of this, Jarvis spent the last 40 years of her life trying to stop Mother's Day.""]","[[u'because', u'of']]"
25,1,1,1,1,2,"&C (,/;/./--) (&AND) &R (&ADV) because of &THIS","[u'Renewable energy use has nearly doubled, and thousands of Americans have jobs because of it. ']","[[u'because', u'of']]"
26,1,1,1,1,2,"&C (,/;/./--) on &this ground/grounds (,) &R","[u'Amazing things will happen. On those grounds, no one can question his contribution to medicine over the past century. ']","[[u'on'], [[u'ground', u'grounds']]]"
27,1,1,1,1,2,"&R (,/;/./--) on the ground that &C","[u'He refused to disclose what had been told him, on the ground that it would be a breach of confidence.']","[[u'on', u'the', u'ground', u'that']]"
28,0,1,1,1,2,"&C (,/;/./--) owing to &THIS (,) &R","[u'Life is a process full of pities, owing to which life itself becomes so delicately colorful and wonderful.']","[[u'owing', u'to']]"
29,1,1,1,1,3,"&C (,/;/./--) (&ADV) because of (&THIS) &NP &R","[u'Golden Gai has remained the same ever since, with 80 tenants in the area forming a society to protect the area from development. Because of this resistance to change, many of the two-storey buildings are originals from the 1960s.']","[[u'because', u'of']]"
30,1,1,1,1,3,"&C (,/;/./--) (&AND) &R (&ADV) because of (&THIS) &NP",[u'Flu viruses are especially prone to this and some pandemics have emerged because of this genetic mixing.'],"[[u'because', u'of']]"
31,1,1,1,1,3,"&C (,/;/./--) (&AND) owing to &this &NP (,) &R","[u'Amazing things will happen. Owing to this point, study on the effectiveness of interest rate policy has been taken as a front-line subject of theoretical research.']","[[u'owing', u'to']]"
32,1,1,1,1,3,"&R (,/;/./--) (&AND) owing to (&THIS) &NP@C@ (&Clause@C@)","[u'This was a very important issue owing to the fact that records could exist in the case of formal meetings.', u""He was in a fevered state of mind, owing to the blight his wife's action threatened to cast upon his entire future.""]","[[u'owing', u'to']]"
33,0,1,1,1,3,"&C (,/;/./--) (&AND) in consequence of &this &NP (,) &R",[u'She was found guilty and lost her job in consequence of this sentence.'],"[[u'in', u'consequence', u'of']]"
34,0,1,1,1,3,"&C (,/;/./--) (&AND) as a (&ADJ) result of &this &NP (,) &R","[u'Amazing things will happen. As a result of this meeting, he made his first record.', u'Amazing things will happen. As a result of these changes, we have been able to push finances that were on the verge of collapse back to a safe position.']","[[u'as', u'a'], [u'result', u'of']]"
35,0,1,1,1,3,"&C (,/;/./--) (&AND) (&ADV) based on &this &NP (,) &R","[u'Amazing things will happen. So based on that definition, theories never change into laws, no matter how much evidence out there supports them.']","[[u'based', u'on']]"
36,5,1,1,2,1,"&R (,/;/./--) (&ADV) for &NUM reason/reasons ,/./:/;/-- &C","[u""We've got to say, we like this idea for two reasons. Amazing things will happen.""]","[[u'for'], [[u'reason', u'reasons'], [u',', u'.', u':', u';', u'--']]]"
37,5,1,1,2,1,"for &NUM reason/reasons (,) &R ./:/;/-- &C","[u'For two reasons, that would be a mistake. First it is broadly speaking true.']","[[u'for'], [[u'reason', u'reasons']], [[u'.', u':', u';', u'--']]]"
38,3,0,1,2,1,"&R (,) on the ground/grounds that &C",[u'I came to see you on the ground that your father said you were in trouble.'],"[[u'on', u'the', [u'ground', u'grounds'], u'that']]"
39,2,0,1,2,1,"&R (,) (&ADV) for the (&ADJ) reason (that) &C","[u'I think it was a mistake, for the simple reason that I do not believe the United States of America ought to be involved in aggression.']","[[u'for', u'the'], [u'reason']]"
40,1,1,1,2,1,"&R on &NUM (&ADJ) ground/grounds ,/./:/;/-- &C",[u'Google defends this approach on two grounds. Amazing things will happen.'],"[[u'on'], [[u'ground', u'grounds'], [u',', u'.', u':', u';', u'--']]]"
41,1,0,1,2,1,"&C (,) with the (&ADJ) result that &R","[u'The President charged head down at the bill introduced by the opposition, with the result that it had to be put on ice.']","[[u'with', u'the'], [u'result', u'that']]"
42,0,0,1,2,1,"&R (,) due to the fact that &C","[u""His mother was dismissed due to the fact that she couldn't type fast enough.""]","[[u'due', u'to', u'the', u'fact', u'that']]"
43,0,0,1,2,1,"due to the fact that &C , &R","[u'Due to the fact that the second section is only indirectly filled with water, it is possible to have an undisturbed process.']","[[u'due', u'to', u'the', u'fact', u'that'], [u',']]"
44,25,0,2,1,1,&R for &V-ing@C@,[u'She was angry with him for being late.'],[[u'for']]
45,6,0,2,1,1,"because of &NP@C@ (,) &R",[u'Because of compassion for her terrible suffering they allowed her to stay.'],"[[u'because', u'of']]"
46,22,0,2,1,1,"&R (,) because of &NP@C@ (&Clause@C@)","[u'She was confined to bed for a week because of a cold.', u'You never know how much a person loves you as he thinks wild because of you.']","[[u'because', u'of']]"
47,0,0,2,1,1,"based on &V-ing/&NP@C@ (&Clause@C@) , &R","[u""He said that, based on his own experience, more students have been going back in recent years as their home countries' economies heat up.""]","[[u'based', u'on'], [u',']]"
48,0,0,2,1,1,"&R (,) (&ADV) based on &V-ing/&NP@C@ (&Clause@C@)",[u'He said he planned to announce details of legislation on Sunday based on a Republican plan that would provide a short-term solution'],"[[u'based', u'on']]"
49,0,0,2,1,1,"&C (,) (&AND) hence &NP@R@ (&Clause@R@) .","[u'Admittedly it is not always easy to balance our attitude, hence the title of this article referring to it as an ""art"".']","[[u'hence'], [u'.']]"
50,5,0,2,1,1,"&R (,) on (the) grounds of &NP@C@ .","[u'Of course, some historians have refused to work for Big Tobacco, on the grounds of those same scholarly standards.']","[[u'on'], [u'grounds', u'of'], [u'.']]"
51,5,0,2,1,1,"&R (,) on &adj/&NP@C@ grounds .","[u'A commission spokesman said the incidents appeared to amount to discrimination on religious grounds.', u'However, that sale is widely believed to have been blocked by Beijing, through CNC, on nationalistic grounds.', u'Iran would be alogical supplier, but is out of the question on political grounds.', u""Reaching the end of that set of 68 paintings coincided with taking my GP's advice and applying for early retirement on health grounds.""]","[[u'on'], [u'grounds', u'.']]"
52,5,0,2,1,1,"on &adj@C@ grounds (&ADJ) , &R","[u'But it should reinforce the point that, on hydrological grounds alone, conserving forest is often essential.']","[[u'on'], [u'grounds'], [u',']]"
53,3,0,2,1,1,"&R (,) on account of &NP@C@","[u""I prefer to call off the meeting on account of boss's absence.""]","[[u'on', u'account', u'of']]"
54,3,0,2,1,1,"on account of &NP@C@ , &R","[u'On account of the discontimuance of business at the company, I left the office.', u'I was confident that on account of my exertions, I would overcome all difficulties.', u'On account of his youth, he was not allowed to take the senior course.', u'On account of the fact that he was tired, he went to bed early.']","[[u'on', u'account', u'of'], [u',']]"
55,0,0,2,1,1,"&R (,) according to &NP@C@",[u'There could be different ways to arrange pictures in displays but picture should be selected according to the core sentences and arranged near the core sentences according to the semantic locality principle.'],"[[u'according', u'to']]"
56,0,0,2,1,1,"according to &NP@C@ , &R","[u'According to the efficiency principle and regional principle, the radius of the network should be small.']","[[u'according', u'to'], [u',']]"
57,1,0,2,1,1,"for &adj@C@ reasons (,) &R",[u'Then for personal reasons I moved across to Australia.'],"[[u'for'], [u'reasons']]"
58,2,0,2,1,1,&R for &adj@C@ reason/reasons . ,"[u'On occasion , this separation will exist because of interference by the state for national reasons.']","[[u'for'], [[u'reason', u'reasons'], u'.']]"
59,0,0,2,1,1,&R as a result/consequence of &NP@C@ .,"[u'His wife, a nurse, lost both her legs as a result of her injuries.', u'His wife, a nurse, lost both her legs as a consequence of her injuries.']","[[u'as', u'a', [u'result', u'consequence'], u'of'], [u'.']]"
60,0,0,2,1,1,"as a result/consequence of &NP@C@ , &R","[u'As a result of your carelessness, the whole project should be put off at least one month.', u'As a result of the photography time light reason, this goods color should be blank.']","[[u'as', u'a', [u'result', u'consequence'], u'of'], [u',']]"
61,2,0,2,1,1,"for the sake of &V-ing/&NP@C@ , &R","[u'For the sake of public health, the American Red Cross should be trying to identify the infectious agent that is in our blood.', u'For the sake of taking care of him, his younger brother Became his shadow, never leaving him alone for years.']","[[u'for', u'the', u'sake', u'of'], [u',']]"
62,2,0,2,1,1,&R for the sake of &V-ing/&NP@C@ ,"[u'On the contrary, some people marry for the sake of money only, and their marriage is destined to be a failure.', u'They are prepared to take a minority position for the sake of maintaining long-term relations with the authorities.']","[[u'for', u'the', u'sake', u'of']]"
63,1,0,2,1,1,"owing to &NP@C@ (,) &R","[u'Owing to a spark of a cigarette, the barn was reduced to ashes with its whole store of hay.']","[[u'owing', u'to']]"
64,1,0,2,1,1,"&R (,) owing to &NP@C@ .","[u'She had a headache, owing to the weather here.']","[[u'owing', u'to'], [u'.']]"
65,1,0,2,1,1,"&R (,) by (&ONE) reason/reasons of &V-ing/&NP@C@","[u'Protection in developed countries is caused by the reasons of economy, international and internal polity.', u'The town is saddled with a large debt, by reason of having built costly Bridges and schoolhouses.']","[[u'by'], [[u'reason', u'reasons'], u'of']]"
66,1,0,2,1,1,"by reason/reasons of &V-ing/&NP@C@ (,) &R","[u'By reason of the initial stage of exploration and the war, it had not yet been effective promotion.']","[[u'by', [u'reason', u'reasons'], u'of']]"
67,0,0,2,1,1,by/through &V-ing@C@ &R,[u'By extracting comments and comparisons of the cited articles and then organizing them according to the time of publication discovers and displays how the area has developed as a research literature.'],"[[[u'by', u'through']]]"
68,0,0,2,1,1,&R@Complete@ by/through &V-ing@C@,[u'The similar relation can be detected by analyzing the contents of nodes based on such approaches as the Latent Semantic Analysis (LSA) and the Vector Space Model (VSM)'],"[[[u'by', u'through']]]"
69,0,0,2,1,1,"for reason/reasons of &NP@C@ (,) &R","[u""For reasons of geography Mexico's fate is ineluctably intertwined with that of the United States."", u'For reasons of domestic politics and of attention-seeking abroad, Russian leaders continue to pretend that the enemy lies in the west.']","[[u'for', [u'reason', u'reasons'], u'of']]"
70,0,0,2,1,1,&R for reason/reasons of &NP@C@,[u'He did not go for reasons of health and I wished him a quick recovery .'],"[[u'for', [u'reason', u'reasons'], u'of']]"
71,0,0,2,1,1,"due to &NP@C@ (,) &R ","[u'Due to limitations in size and legal rules, our efforts did not blossom']","[[u'due', u'to']]"
72,0,0,2,1,1,&R due to &NP@C@,[u'Data stored on hard disks is at higher risk due to the mechanical nature of the device.'],"[[u'due', u'to']]"
73,0,0,2,1,1,&R in consequence of &NP@C@,[u'Asset securitization came into being in consequence of economics developing and financial products innovating.'],"[[u'in', u'consequence', u'of']]"
74,0,0,2,1,1,"in consequence of &NP@C@ (,) &R","[u'In consequence of an agreement between the sisters, Elizabeth wrote the next morning to her mother.', u'In consequence of the early bent of his nature and his habits of study he lived a solitary and secluded life.']","[[u'in', u'consequence', u'of']]"
75,18,0,3,1,1,"because &C , &R","[u'Because he was absent for two weeks, the other students in his class are ahead of him.']","[[u'because'], [u',']]"
76,407,1,3,1,1,"&R (,) (&ADV) because &C","[u'It ends up in burnout and less production, because we inevitably run out of energy.']",[[u'because']]
77,45,0,3,1,1,&C so that &R,[u'The teacher then decided to ask him some very easy questions so that he could get a few right.'],"[[u'so', u'that']]"
78,15,0,3,1,1,"since &C@NCTime@ , &R@NCTime@","[u'But, since the herpes virus does not always show its symptoms, prevention is not fool proof.']","[[u'since'], [u',']]"
